Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,District,Province
6.35,100.0,4.0,4.0,2.0,4.0,5.0,yes,yes,Thủ Đức, Hồ Chí Minh
7.6,66.0,2.0,3.0,2.0,4.0,3.6,yes,no,Phú Nhuận, Hồ Chí Minh
3.0,48.85,3.0,2.0,3.0,5.0,4.0,yes,yes,Kiến An, Hải Phòng
12.0,36.0,4.0,5.0,6.0,9.0,4.0,yes,yes,Cầu Giấy, Hà Nội
8.0,35.0,3.0,3.0,5.0,3.5,4.0,yes,yes,Tây Hồ, Hà Nội
5.5,35.0,4.0,4.0,5.0,3.5,5.0,yes,yes,Bắc Từ Liêm, Hà Nội
24.0,50.0,6.0,6.0,7.0,4.0,5.0,no,no,Tây Hồ, Hà Nội
15.2,50.0,8.0,7.0,7.0,11.5,4.0,yes,yes,Hà Đông, Hà Nội
2.9,26.0,2.0,2.0,1.0,3.0,5.0,yes,no,Quận 7, Hồ Chí Minh
2.9,26.0,2.0,2.0,1.0,3.0,5.0,yes,no,Quận 7, Hồ Chí Minh
7.5,70.0,3.0,4.0,3.0,7.0,4.0,yes,yes,Bình Tân, Hồ Chí Minh
5.45,30.0,3.0,4.0,4.0,5.0,6.15,yes,no,Hoài Đức, Hà Nội
8.5,34.0,4.0,5.0,6.0,5.0,5.0,yes,yes,Cầu Giấy, Hà Nội
8.5,34.0,4.0,5.0,6.0,4.0,5.0,yes,yes,Cầu Giấy, Hà Nội
7.5,30.0,2.0,2.0,3.0,3.5,4.3,yes,yes,Ba Đình, Hà Nội
9.9,115.0,3.0,3.0,1.0,8.0,4.1,yes,no,Tân Bình, Hồ Chí Minh
11.45,50.0,4.0,6.0,8.0,6.0,5.0,yes,yes,Long Biên, Hà Nội
18.5,118.0,5.0,4.0,4.0,6.0,4.6,yes,yes,Thanh Xuân, Hà Nội
3.15,32.0,2.0,2.0,2.0,5.0,4.0,yes,yes,Quận 12, Hồ Chí Minh
3.2,30.0,3.0,3.0,3.0,4.0,5.5,yes,yes,Hà Đông, Hà Nội
4.0,40.0,3.0,2.0,4.0,5.0,4.0,yes,yes,Đông Anh, Hà Nội
15.9,71.0,4.0,3.0,3.0,6.0,4.0,yes,no,Phú Nhuận, Hồ Chí Minh
11.0,74.0,6.0,4.0,4.0,3.3,6.0,yes,yes,Đống Đa, Hà Nội
15.7,75.0,3.0,3.0,3.0,8.0,4.2,yes,yes,Hà Đông, Hà Nội
2.5,26.0,4.0,4.0,4.0,2.5,3.5,yes,yes,Hoàng Mai, Hà Nội
3.95,44.0,3.0,3.0,4.0,5.3,4.0,yes,yes,Chương Mỹ, Hà Nội
6.66,30.0,3.0,4.0,5.0,4.0,4.65,yes,yes,Long Biên, Hà Nội
17.5,50.0,4.0,4.0,5.0,5.0,5.2,yes,yes,Đống Đa, Hà Nội
5.9,90.0,5.0,3.0,3.0,5.5,5.0,yes,yes,Liên Chiểu, Đà Nẵng
6.8,65.0,1.0,1.0,2.0,3.0,5.0,yes,yes,Quận 4, Hồ Chí Minh
11.8,55.0,6.0,4.0,6.0,3.0,4.0,yes,no,Hoàng Mai, Hà Nội
13.6,48.0,4.0,4.0,5.0,3.0,4.5,yes,no,Cầu Giấy, Hà Nội
11.2,48.0,5.0,3.0,5.0,3.0,4.0,yes,yes,Long Biên, Hà Nội
11.7,46.0,4.0,3.0,3.0,5.0,4.0,yes,yes,Hà Đông, Hà Nội
4.98,21.0,2.0,2.0,4.0,8.0,3.5,yes,yes,Đống Đa, Hà Nội
15.9,94.0,8.0,8.0,5.0,5.0,4.0,yes,yes,Thanh Xuân, Hà Nội
22.8,60.0,6.0,4.0,5.0,6.0,5.4,yes,no,Ba Đình, Hà Nội
5.65,30.0,4.0,4.0,5.0,7.0,4.0,yes,no,Thanh Trì, Hà Nội
9.86,72.0,5.0,5.0,4.0,5.0,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
6.95,30.0,4.0,3.0,4.0,2.0,3.2,yes,yes,Ba Đình, Hà Nội
22.8,60.0,6.0,4.0,5.0,6.0,5.4,yes,no,Ba Đình, Hà Nội
15.9,94.0,8.0,8.0,5.0,5.0,4.0,yes,yes,Thanh Xuân, Hà Nội
5.65,30.0,4.0,4.0,5.0,7.0,4.0,yes,no,Thanh Trì, Hà Nội
9.86,72.0,5.0,5.0,4.0,5.0,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
6.95,30.0,4.0,3.0,4.0,2.0,3.2,yes,yes,Ba Đình, Hà Nội
7.9,50.0,4.0,5.0,4.0,5.0,5.0,yes,no,Phú Nhuận, Hồ Chí Minh
6.25,33.0,4.0,3.0,4.0,1.5,3.5,yes,yes,Hai Bà Trưng, Hà Nội
8.8,42.0,5.0,3.0,5.0,3.5,3.8,yes,yes,Hoàng Mai, Hà Nội
11.0,53.0,7.0,7.0,5.0,13.0,5.0,yes,no,Phú Nhuận, Hồ Chí Minh
16.0,65.0,5.0,4.0,5.0,4.0,4.2,yes,no,Cầu Giấy, Hà Nội
12.75,46.0,4.0,4.0,7.0,4.5,4.1,yes,yes,Long Biên, Hà Nội
11.4,57.0,4.0,3.0,4.0,4.0,3.75,yes,yes,Hai Bà Trưng, Hà Nội
7.9,33.0,3.0,4.0,6.0,3.5,3.6,yes,no,Hoàng Mai, Hà Nội
5.74,30.0,3.0,4.0,5.0,3.0,3.0,yes,yes,Hoàng Mai, Hà Nội
6.4,31.0,3.0,4.0,5.0,3.0,3.8,yes,yes,Long Biên, Hà Nội
8.3,50.0,3.0,2.0,3.0,6.0,4.0,yes,yes,Quận 10, Hồ Chí Minh
6.8,32.0,3.0,4.0,5.0,3.0,4.0,yes,yes,Hoàng Mai, Hà Nội
7.3,27.0,4.0,5.0,4.0,2.5,6.3,yes,yes,Ba Đình, Hà Nội
24.3,50.0,4.0,5.0,7.0,4.0,5.6,yes,yes,Tây Hồ, Hà Nội
5.6,50.0,4.0,4.0,3.0,8.0,5.0,yes,yes,Nhà Bè, Hồ Chí Minh
9.6,35.0,3.0,4.0,5.0,5.0,3.5,yes,yes,Bắc Từ Liêm, Hà Nội
9.3,76.0,2.0,2.0,1.0,13.0,4.0,yes,no,Tân Phú, Hồ Chí Minh
4.3,76.0,2.0,1.0,2.0,5.0,4.0,yes,no,Bình Tân, Hồ Chí Minh
9.8,60.0,6.0,5.0,5.0,3.0,6.0,yes,yes,Thanh Xuân, Hà Nội
4.6,60.0,4.0,3.0,4.0,6.0,4.0,yes,yes,Hải An, Hải Phòng
7.38,30.0,5.0,6.0,4.0,2.0,4.0,yes,yes,Thanh Xuân, Hà Nội
1.76,100.0,4.0,3.0,2.0,10.0,5.0,yes,yes,Cần Giuộc, Long An
9.6,42.0,4.0,5.0,6.0,4.0,4.0,yes,no,Thanh Xuân, Hà Nội
23.0,48.0,4.0,4.0,6.0,5.0,3.8,yes,yes,Ba Đình, Hà Nội
11.3,80.0,5.0,3.0,4.0,4.0,4.0,yes,yes,Hoàng Mai, Hà Nội
7.65,38.0,4.0,4.0,5.0,4.0,5.0,yes,yes,Hoàng Mai, Hà Nội
9.5,45.0,4.0,4.0,5.0,2.5,4.0,yes,yes,Thanh Xuân, Hà Nội
21.7,52.0,5.0,5.0,6.0,12.0,4.5,yes,yes,Hai Bà Trưng, Hà Nội
12.0,60.0,4.0,3.0,4.0,2.5,6.2,yes,yes,Thanh Xuân, Hà Nội
2.4,44.3,2.0,2.0,2.0,4.0,4.0,yes,yes,Dĩ An, Bình Dương
21.5,62.0,5.0,6.0,7.0,6.0,5.1,no,yes,Tây Hồ, Hà Nội
12.65,71.5,7.0,5.0,5.0,3.5,3.5,yes,no,Thanh Xuân, Hà Nội
10.7,45.0,5.0,4.0,5.0,2.8,5.5,yes,yes,Tây Hồ, Hà Nội
4.35,64.0,3.0,3.0,2.0,8.0,4.0,yes,yes,Bình Tân, Hồ Chí Minh
5.15,80.0,3.0,2.0,2.0,5.0,4.0,yes,no,Bình Tân, Hồ Chí Minh
6.8,42.0,3.0,3.0,4.0,4.0,5.2,yes,yes,Quận 4, Hồ Chí Minh
22.0,65.0,5.0,6.0,3.0,5.0,3.5,yes,yes,Bình Thạnh, Hồ Chí Minh
11.9,40.0,3.0,4.0,5.0,3.0,3.0,yes,yes,Hai Bà Trưng, Hà Nội
6.39,54.0,4.0,5.0,4.0,6.0,4.0,yes,yes,Nhà Bè, Hồ Chí Minh
8.0,55.0,4.0,3.0,3.0,3.0,3.0,yes,yes,Thanh Xuân, Hà Nội
10.2,50.0,5.0,4.0,6.0,6.0,6.0,yes,yes,Long Biên, Hà Nội
24.5,66.0,5.0,5.0,6.0,7.0,5.5,yes,yes,Cầu Giấy, Hà Nội
16.0,110.0,6.0,6.0,3.0,10.0,5.2,yes,yes,Quận 7, Hồ Chí Minh
14.8,40.6,6.0,4.0,5.0,10.0,3.94,yes,yes,Thanh Xuân, Hà Nội
4.95,22.0,3.0,3.0,5.0,2.0,4.0,yes,yes,Hai Bà Trưng, Hà Nội
25.0,95.0,4.0,3.0,4.0,10.0,5.0,yes,yes,Hoàng Mai, Hà Nội
3.6,28.0,2.0,3.0,3.0,3.0,4.0,yes,yes,Quận 7, Hồ Chí Minh
9.25,40.0,4.0,3.0,4.0,3.0,6.0,yes,yes,Tây Hồ, Hà Nội
11.5,50.0,4.0,5.0,7.0,3.0,4.0,yes,yes,Long Biên, Hà Nội
13.5,45.0,3.0,5.0,7.0,4.0,4.0,yes,yes,Long Biên, Hà Nội
9.1,63.0,4.0,4.0,4.0,3.5,3.8,yes,yes,Nam Từ Liêm, Hà Nội
7.0,30.0,3.0,3.0,4.0,2.0,5.0,yes,yes,Hoàng Mai, Hà Nội
7.8,71.2,6.0,4.0,3.0,8.0,4.0,yes,yes,Quận 11, Hồ Chí Minh
6.7,100.0,5.0,3.0,3.0,7.0,5.0,yes,yes,Cẩm Lệ, Đà Nẵng
15.0,56.0,3.0,3.0,5.0,10.0,5.1,yes,yes,Long Biên, Hà Nội
4.3,30.0,3.0,3.0,4.0,3.3,5.12,yes,no,Đan Phượng, Hà Nội
7.5,64.0,2.0,3.0,2.0,5.0,5.0,yes,yes,Ngũ Hành Sơn, Đà Nẵng
7.3,35.0,4.0,2.0,4.0,3.5,5.0,yes,yes,Đống Đa, Hà Nội
7.5,70.0,4.0,4.0,3.0,8.0,5.0,yes,no,Bình Thạnh, Hồ Chí Minh
4.86,48.0,2.0,2.0,1.0,3.2,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
6.78,38.0,3.0,3.0,4.0,5.0,5.0,yes,yes,Gò Vấp, Hồ Chí Minh
3.5,51.0,4.0,3.0,4.0,6.0,4.2,yes,yes,Hải An, Hải Phòng
6.19,60.0,3.0,4.0,3.0,6.0,4.0,yes,yes,Nhà Bè, Hồ Chí Minh
15.5,72.0,4.0,4.0,4.0,8.0,6.0,yes,yes,Hà Đông, Hà Nội
10.8,40.0,4.0,4.0,5.0,6.0,3.6,yes,yes,Hai Bà Trưng, Hà Nội
6.9,48.0,4.0,3.0,4.0,8.0,4.0,yes,no,Tân Phú, Hồ Chí Minh
6.4,35.0,4.0,4.0,6.0,5.0,4.0,yes,yes,Thanh Trì, Hà Nội
7.6,30.0,3.0,4.0,4.0,3.0,5.0,yes,yes,Cầu Giấy, Hà Nội
2.68,41.49,2.0,2.0,2.0,7.0,4.0,yes,yes,Nha Trang, Khánh Hòa
6.2,44.0,3.0,4.0,3.0,3.5,4.0,yes,yes,Quận 7, Hồ Chí Minh
6.0,41.0,4.0,5.0,5.0,4.0,4.5,yes,yes,Gò Vấp, Hồ Chí Minh
15.3,48.0,4.0,4.0,5.0,4.5,4.4,yes,yes,Hai Bà Trưng, Hà Nội
5.75,35.0,4.0,4.0,5.0,3.5,4.0,yes,yes,Bắc Từ Liêm, Hà Nội
10.5,112.0,4.0,5.0,4.0,8.0,5.0,yes,yes,Nhà Bè, Hồ Chí Minh
4.25,34.0,3.0,4.0,5.0,5.0,5.0,yes,yes,Hà Đông, Hà Nội
8.25,60.0,4.0,4.0,5.0,3.5,4.0,yes,yes,Long Biên, Hà Nội
5.45,39.0,5.0,4.0,4.0,2.5,4.2,yes,yes,Thanh Trì, Hà Nội
6.5,63.0,3.0,3.0,2.0,5.0,5.0,yes,yes,Tân Phú, Hồ Chí Minh
4.5,45.0,5.0,5.0,4.0,3.0,3.5,yes,yes,Thanh Trì, Hà Nội
6.1,51.5,3.0,4.0,4.0,4.0,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
21.0,129.0,4.0,2.0,2.0,12.0,5.0,yes,yes,Gia Lâm, Hà Nội
11.5,40.0,3.0,4.0,5.0,3.4,4.0,yes,yes,Tây Hồ, Hà Nội
7.8,38.0,3.0,4.0,4.0,4.0,4.4,yes,yes,Gò Vấp, Hồ Chí Minh
6.26,26.0,3.0,4.0,5.0,3.0,3.2,yes,yes,Hoàng Mai, Hà Nội
2.78,31.0,3.0,3.0,3.0,10.0,3.53,yes,yes,Chương Mỹ, Hà Nội
5.75,35.0,4.0,4.0,5.0,3.5,4.0,yes,yes,Bắc Từ Liêm, Hà Nội
9.8,41.0,3.0,4.0,6.0,3.7,3.8,yes,yes,Long Biên, Hà Nội
4.25,34.0,3.0,4.0,5.0,5.0,5.0,yes,yes,Hà Đông, Hà Nội
10.5,112.0,4.0,5.0,4.0,8.0,5.0,yes,yes,Nhà Bè, Hồ Chí Minh
6.2,52.0,3.0,3.0,4.0,4.0,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
3.0,56.0,4.0,5.0,4.0,7.0,4.0,yes,yes,Bình Tân, Hồ Chí Minh
8.5,55.0,4.0,4.0,4.0,4.0,6.0,yes,yes,Long Biên, Hà Nội
8.9,75.0,3.0,4.0,3.0,5.5,5.0,yes,no,Sơn Trà, Đà Nẵng
8.95,40.0,4.0,3.0,4.0,3.0,6.0,yes,yes,Tây Hồ, Hà Nội
5.65,53.3,3.0,3.0,2.0,5.0,4.0,yes,no,Thủ Đức, Hồ Chí Minh
6.85,36.0,4.0,3.0,4.0,2.0,3.2,yes,yes,Ba Đình, Hà Nội
2.75,63.0,2.0,2.0,2.0,6.0,6.0,yes,yes,Biên Hòa, Đồng Nai
3.6,30.0,1.0,1.0,1.0,3.0,3.3,yes,yes,Hai Bà Trưng, Hà Nội
7.9,34.0,4.0,4.0,6.0,3.0,4.6,yes,no,Ba Đình, Hà Nội
4.6,59.0,3.0,2.0,2.0,3.0,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
11.7,63.1,2.0,1.0,2.0,3.0,4.0,yes,yes,Cầu Giấy, Hà Nội
6.4,54.0,4.0,5.0,4.0,8.0,4.0,yes,yes,Nhà Bè, Hồ Chí Minh
7.4,90.0,2.0,2.0,1.0,8.0,5.0,yes,no,Thủ Đức, Hồ Chí Minh
14.8,48.0,3.0,5.0,6.0,6.0,5.4,yes,yes,Tây Hồ, Hà Nội
6.0,50.0,5.0,4.0,4.0,3.5,3.5,yes,yes,Hoài Đức, Hà Nội
5.13,46.0,6.0,4.0,5.0,6.0,4.2,yes,no,Hà Đông, Hà Nội
11.66,100.0,4.0,4.0,3.0,12.0,6.2,yes,yes,Thủ Đức, Hồ Chí Minh
17.0,80.0,4.0,4.0,3.0,2.0,5.0,yes,no,Cầu Giấy, Hà Nội
6.2,32.0,3.0,3.0,5.0,2.0,4.0,yes,no,Hai Bà Trưng, Hà Nội
4.5,60.0,4.0,4.0,3.0,7.0,4.0,yes,yes,Dĩ An, Bình Dương
12.5,60.0,6.0,4.0,5.0,2.5,3.5,yes,yes,Tây Hồ, Hà Nội
12.8,90.0,5.0,4.0,4.0,3.0,5.0,yes,yes,Cầu Giấy, Hà Nội
7.6,50.0,5.0,3.0,4.0,6.0,4.0,yes,no,Gò Vấp, Hồ Chí Minh
4.7,82.0,3.0,2.0,2.0,8.0,5.4,yes,yes,Hóc Môn, Hồ Chí Minh
12.5,50.0,4.0,4.0,4.0,5.0,4.0,yes,no,Thanh Trì, Hà Nội
7.3,40.0,5.0,3.0,4.0,3.0,4.0,yes,no,Hai Bà Trưng, Hà Nội
15.0,50.0,4.0,5.0,7.0,6.0,4.0,yes,yes,Long Biên, Hà Nội
3.35,36.0,4.0,3.0,4.0,5.0,3.3,yes,yes,Hồng Bàng, Hải Phòng
2.9,21.0,2.0,2.0,2.0,4.0,3.5,yes,yes,Gò Vấp, Hồ Chí Minh
12.5,50.5,4.0,4.0,5.0,4.0,5.0,yes,yes,Tây Hồ, Hà Nội
4.95,64.0,2.0,3.0,2.0,6.0,4.0,yes,yes,Bình Tân, Hồ Chí Minh
5.6,25.0,2.0,3.0,4.0,2.5,3.5,yes,yes,Hai Bà Trưng, Hà Nội
12.7,75.0,4.0,4.0,4.0,4.0,4.5,yes,yes,Hoàng Mai, Hà Nội
6.48,30.0,2.0,3.0,4.0,3.0,4.0,yes,yes,Hai Bà Trưng, Hà Nội
4.0,36.5,3.0,3.0,3.0,4.0,4.0,yes,yes,Hoài Đức, Hà Nội
5.86,42.0,2.0,2.0,3.0,3.5,4.0,yes,yes,Hoàng Mai, Hà Nội
12.5,50.5,4.0,4.0,5.0,4.0,5.0,yes,yes,Tây Hồ, Hà Nội
4.95,64.0,2.0,3.0,2.0,6.0,4.0,yes,yes,Bình Tân, Hồ Chí Minh
7.5,26.0,3.0,3.0,4.0,5.0,6.0,yes,yes,Đống Đa, Hà Nội
11.0,76.0,5.0,5.0,4.0,8.0,4.0,yes,no,Quận 7, Hồ Chí Minh
7.15,50.0,4.0,3.0,4.0,3.0,4.5,yes,yes,Hà Đông, Hà Nội
5.1,35.0,4.0,5.0,5.0,4.0,4.0,yes,yes,Hoài Đức, Hà Nội
5.8,42.0,4.0,4.0,5.0,3.0,3.5,yes,yes,Hoàng Mai, Hà Nội
14.5,69.0,4.0,5.0,6.0,5.0,4.1,yes,no,Hoàng Mai, Hà Nội
14.8,70.0,4.0,5.0,6.0,5.0,4.1,yes,yes,Hoàng Mai, Hà Nội
4.1,100.0,3.0,1.0,1.0,6.0,5.0,yes,yes,Thủ Dầu Một, Bình Dương
3.55,93.0,5.0,2.0,2.0,4.0,4.0,yes,yes,Thủ Dầu Một, Bình Dương
3.25,47.0,3.0,3.0,3.0,5.0,3.8,yes,no,Thanh Oai, Hà Nội
3.25,68.5,3.0,4.0,3.0,4.0,6.2,yes,yes,Nha Trang, Khánh Hòa
3.7,43.8,4.0,3.0,3.0,2.5,3.75,yes,yes,Thanh Oai, Hà Nội
2.9,15.0,2.0,3.0,4.0,2.0,3.4,yes,yes,Đống Đa, Hà Nội
6.9,60.0,4.0,4.0,4.0,2.0,4.5,yes,yes,Đống Đa, Hà Nội
5.6,36.0,2.0,2.0,2.0,10.0,6.0,yes,yes,Gò Vấp, Hồ Chí Minh
5.5,42.1,4.0,3.0,4.0,3.0,3.6,yes,yes,Đan Phượng, Hà Nội
21.8,74.0,4.0,4.0,7.0,6.0,5.5,yes,yes,Long Biên, Hà Nội
6.05,57.0,4.0,5.0,4.0,10.0,4.4,yes,yes,Quận 12, Hồ Chí Minh
5.8,38.0,4.0,3.0,5.0,2.5,4.0,yes,yes,Long Biên, Hà Nội
15.8,61.0,7.0,8.0,6.0,11.0,4.0,yes,yes,Thanh Xuân, Hà Nội
3.15,28.0,2.0,3.0,4.0,2.5,3.0,yes,yes,Bắc Từ Liêm, Hà Nội
5.8,63.0,3.0,2.0,2.0,2.0,4.0,yes,no,Long Biên, Hà Nội
12.4,113.0,5.0,6.0,4.0,10.0,4.5,yes,yes,Tân Bình, Hồ Chí Minh
6.9,79.1,4.0,4.0,4.0,8.5,4.0,yes,yes,Ninh Kiều, Cần Thơ
5.99,65.0,4.0,2.0,2.0,6.0,3.3,yes,no,Quận 11, Hồ Chí Minh
0.0285,60.0,6.0,5.0,5.0,8.0,3.9,yes,no,Nam Từ Liêm, Hà Nội
14.66,65.0,4.0,6.0,6.0,4.0,5.8,no,yes,Tây Hồ, Hà Nội
5.8,36.0,3.0,4.0,5.0,3.0,4.0,yes,yes,Long Biên, Hà Nội
11.9,50.0,4.0,4.0,4.0,12.0,4.0,yes,yes,Hà Đông, Hà Nội
4.6,45.0,2.0,2.0,2.0,4.0,4.0,yes,yes,Thủ Đức, Hồ Chí Minh
7.99,60.0,5.0,5.0,5.0,5.0,4.0,yes,no,Gò Vấp, Hồ Chí Minh
5.7,38.0,5.0,4.0,5.0,2.5,5.0,yes,yes,Long Biên, Hà Nội
11.9,63.0,4.0,4.0,4.0,5.0,4.1,yes,yes,Phú Nhuận, Hồ Chí Minh
6.87,24.0,3.0,3.0,5.0,4.0,3.0,yes,no,Đống Đa, Hà Nội
5.65,80.0,7.0,7.0,2.0,6.0,6.0,yes,yes,Bình Tân, Hồ Chí Minh
5.9,100.0,4.0,3.0,2.0,8.0,5.0,yes,yes,Quận 12, Hồ Chí Minh
11.9,54.0,6.0,5.0,6.0,3.0,4.5,yes,yes,Thanh Xuân, Hà Nội
7.4,55.0,4.0,4.0,4.0,2.0,4.0,yes,yes,Thanh Trì, Hà Nội
2.9,90.0,2.0,1.0,1.0,4.0,5.0,yes,yes,Ninh Kiều, Cần Thơ
8.5,68.0,4.0,3.0,4.0,4.0,4.1,yes,yes,Gò Vấp, Hồ Chí Minh
8.7,30.0,4.0,4.0,4.0,7.0,3.5,yes,yes,Bình Thạnh, Hồ Chí Minh
1.95,65.0,2.0,1.0,1.0,3.0,5.0,yes,yes,Huế, Thừa Thiên Huế
12.0,70.0,6.0,4.0,7.0,6.0,4.5,yes,yes,Long Biên, Hà Nội
7.5,114.0,3.0,3.0,2.0,10.0,6.0,yes,yes,Cái Răng, Cần Thơ
1.55,20.0,2.0,2.0,2.0,3.0,4.7,yes,no,Thủ Đức, Hồ Chí Minh
11.0,60.0,4.0,4.0,4.0,5.5,5.0,yes,yes,Ngũ Hành Sơn, Đà Nẵng
19.8,55.0,3.0,4.0,5.0,6.0,5.8,yes,yes,Ba Đình, Hà Nội
2.69,110.0,3.0,2.0,2.0,6.0,4.2,yes,no,Biên Hòa, Đồng Nai
18.0,50.2,4.0,3.0,4.0,4.0,3.2,yes,yes,Hoàng Mai, Hà Nội
13.0,50.0,4.0,4.0,6.0,8.0,4.0,yes,yes,Đống Đa, Hà Nội
2.55,46.0,2.0,2.0,2.0,4.0,3.0,yes,yes,Nhà Bè, Hồ Chí Minh
7.0,35.0,3.0,4.0,6.0,4.0,4.0,yes,yes,Long Biên, Hà Nội
15.9,65.0,4.0,4.0,6.0,6.0,4.0,yes,yes,Thanh Xuân, Hà Nội
12.5,50.0,6.0,4.0,5.0,5.0,4.8,yes,no,Bắc Từ Liêm, Hà Nội
1.05,48.0,3.0,2.0,2.0,5.0,4.0,yes,yes,Thuận An, Bình Dương
5.2,35.0,3.0,4.0,5.0,3.0,3.5,yes,no,Hoài Đức, Hà Nội
8.26,58.8,6.0,4.0,5.0,8.0,6.0,yes,no,Bình Tân, Hồ Chí Minh
5.6,50.0,3.0,3.0,3.0,5.0,6.0,yes,no,Sơn Trà, Đà Nẵng
25.0,95.0,4.0,3.0,4.0,5.0,6.0,yes,yes,Ba Đình, Hà Nội
13.8,62.0,6.0,4.0,4.0,5.0,3.7,yes,yes,Quận 10, Hồ Chí Minh
16.0,52.0,5.0,7.0,8.0,6.0,5.8,yes,yes,Thanh Xuân, Hà Nội
6.5,64.0,4.0,4.0,4.0,6.0,4.0,yes,yes,Bình Tân, Hồ Chí Minh
